,Land_Cost,Land_area,Cost_per_m2,Land_location,land_description
32,"KSh 1,200,000",0 ha,"KSh 30,000,000 / ha","Juja, Jujafarm, Thika Road","The plots are 1/8 of an acre suitable for residential development. They are easily accessible from Thika Road or Nairobi CBD and there are all social amenities on site.
 We have a flexible payment plan of up to 12 months.
 Book a free site visit today. Each plot goes for 1.2m(Negotiable). Interested? Leave your contact below and we shall contact you right away"
33,"KSh 180,000,000",0 ac,"KSh 240,000,000 / ac",Lavington,0.75 Acre Plot for Sale in Lavington. This prime parcel of land on sale is at the heart of Lavington it comes with a 4 bedroom bungalow. Located in a gated community the piece of land is ideal for redevelopment as a villa or a townhouse. The land has clean documents.
34,"KSh 200,000,000",,Null,"Westwood road, O, Karen","**Property Listing: Westwood Road, Karen**

**Property Details:**
- Location: Westwood Road, Karen
- Land Size: 4 acres
- Price: Ksh 200,000,000 (200M)
- Transaction Type: Outright Sale
- Sale Format: Sold as a Block

**Description:**
This exceptional 4-acre property on Westwood Road in Karen offers a unique opportunity for discerning buyers. Located in one of Nairobi's most prestigious neighborhoods, this property is ideal for various investment opportunities, from residential developments to commercial ventures. The property is offered for outright sale, making it a perfect investment for those seeking to capitalize on the thriving real estate market in Karen.

**Key Features:**
- Prime lo..."
35,"KSh 49,000,000",348 m²,"KSh 140,805 / m²",Ngara,"* This ideal, 0.086 Acre plot is located in Ngara, with easy access to Murang’a Road.
* It has a 50 year lease from 1997
* The plot is in close proximity to the Chief’s Office, Ngara, CBD, Ngara Secondary School, and many other social amenities.
* There are Commercial retail and apartments already built nearby so this plot would ideal for a mixed-use retail / residential or purely residential or commercial development
* Nearby buildings are Ground plus six floors."
36,"KSh 60,000,000",1 ac,"KSh 60,000,000 / ac",Karen,"Hot 1 acre land parcel, In the prestine LUSCIOUS green canopies, flora and fauna high Security areas of karen
Red soil & very fertile.
Rectangular shaped, 
Deed plan available on request.
UN-SECURITY APPROVED 

The most Prestigious address in Karen..

A must see!"
37,"KSh 45,000,000",,"KSh 45,000,000 / ac",Mombasa Road,"25 ACRES: NEAR SIGNATURE MALL.

This prime property is touching Mombasa rd and is very ideal for:
🔥Housing project.
🔥Business park 
🔥Factory.
🔥Warehouses.
🔥Office blocks etc.

FEATURES:
🔥Ready title.
🔥Sewer line.
🔥Serviced.
🔥Fair gradient.

PRICE: Ksh 45M/Acre."
38,"KSh 36,000,000",0 ac,"KSh 72,000,000 / ac","Garden Estate, Roysambu","Half Acre in Garden Estate
This flat, half acre piece is available today! It is located in the upmarket suburb of Garden Estate. Access to the plot is guarded by a guard and is enclosed in a small community, so it is very secure. The area is also built up and a great location as it's near the road with access ways to the northern bypass, Thika Highway, and Kiambu road all within a small distance.

It is a stone-throw away from Braeburn school with close proximity to Garden City Malls, as well as Two-Rivers mall.

Get all your shopping needs at the Chandarana at Ridgeways mall, or the Naivas on Kiambu road all within 5 minute drive of this plot.

It is an excellent piece to build your dream h..."
39,"KSh 10,000,000",,Null,"Migaa, Kiambu Road","Wealthlink presents a prime residential 1/4 acre piece of land in a controlled gated community by the name Migaa Golf Estate , Past Kirigiti, Kiambu Town
The price is discounted from the actual price of 12M for a cash quick buyer.
It is flat with red soil, clear access roads with clear natural drainage, water and electricity on site, a 24 hours security manned gate.
Already and rapidly being built up and soon it is a complete golf estate with mixed developments established and coming up.
Golf, Hospital, Club house, schools, shoppping centre, recreational park etc
Fully on the tarmac in a fresh and green environment
With clean documentations, valid title without any encumbrances.
Contact us..."
40,"KSh 160,000,000",4047 m²,"KSh 39,535 / m²",Lavington,"Prime 1 acre land for re-development - 3KE1506102
Strategically located, is this beautiful 1 acre piece of land that sits in the heart of Lavington and ready for re-development. It had a change of user to multiple dwellings and plan which could achieve 6 luxury townhouses.

The plot currently houses a bungalow which is being used as an office.

Call us for more information and also to view the property. Viewing strictly by appointment."
41,"KSh 10,000,000",,Null,Ngong Road,"Location: 2nd row from Ngong-Matasia Tarmac road in a highly developed area. Approx. 2.5km from Ngong town

Topography: Relatively flat

Suitable use: Residential home or residential flats development

Title: Ready & Freehold 

Price: Ksh 10M"
42,"KSh 250,000,000",0 ac,"KSh 476,190,476 / ac","Riara Road, Lavington","Property Overview:

Location: Riara Rd, Maziwa, Dagoretti Corner, Lavington, Nairobi
Size: 0.525 Acres (Approximately 0.212 Hectares)
Price: Ksh 250,000,000
🌟 Key Features:

1. Unbeatable Location:

Nestled in the heart of Lavington, this prime land boasts a prestigious address on Riara Rd, known for its upscale residences and vibrant commercial scene.
2. Strategic Access:

Enjoy direct access to Kingara Road, a well-connected route that ensures seamless connectivity to major business hubs and entertainment districts.
3. Proximity to The Junction Mall:

Meters away from the renowned Junction Mall, offering an array of shopping, dining, and entertainment options. The mall's convenience is ri..."
43,"KSh 390,000,000",5 ac,"KSh 78,000,000 / ac",Mombasa Road,"Located just a 10 minutes drive from the ICD, this 5-acre is ideal for re-development into godowns.

It has easy access to Mombasa via ICD road and Syokimau, Mlolongo, and Athi River via the old Mombasa road with an exit at Nation Printing Press.

The plot is perfectly flat and square-shaped.

The plot is also ideal for a logistics company looking to set base close to the ICD."
44,"KSh 40,000,000",0 ac,Null,"Hardy, Karen Hardy","This is a residential Half-acre of land for sale in Karen, Hardy. The appealing parcel of land is located in a quiet residential area ideal for the construction of a family home. It also has Red soil, an existing foundation built and water and electricity nearby for connection."
45,"KSh 35,000,000",,Null,Ridgeways,"Half Acre Land For Sale

This gorgeous half acre plot of land located in the heart of Garden Estate is a must see!! Within close proximity to Kiambu Road & Thika Super Highway it provides easy access.

Flat land. Red Soil. Water & Electricity on site.

It is the perfect place to develop and build your dream home.

Call us today to arrange a viewing!!"
46,"KSh 350,000,000",2 ac,Null,"KITISURU, 101, Kitisuru, Westlands","Property Description
2.5 Acres of Vacant Land for Sale in Kitisuru

This 2.5-acre vacant land is located in the highly sought-after Kitisuru estate, a quiet and private neighborhood known for its lush greenery. The property is surrounded by tall mature trees, creating a peaceful and serene atmosphere. This is the perfect place to build your dream home, with plenty of space to create a landscaped oasis for you and your family to enjoy.

The property has access to a private road, giving you added privacy and exclusivity. You can enjoy the tranquility of nature in this peaceful and quiet setting.

Here are some of the benefits of buying this property:

Located in a prime location in Kitisuru
Su..."
47,"KSh 1,300,000",32000 m²,KSh 41 / m²,"Kantafu - Kangundo Road, Kantafu, Kamulu Joska Malaa","- Both commercial and residential plots
- Ten (10) plots each measuring 40X80 with ready clean titles
- 3rd row from Kangundo main road - Less than 500m from the road
- A fast growing area, with already developed real estate
- Water and power on site
- As"
48,"KSh 500,000,000",5 ac,Null,"Lower Kabete Road, Lower Kabete, Westlands","An extraordinary opportunity awaits with this 5 acre commercial plot gem now available for sale. Boasting dual frontage along Lower Kabete Road and Kapenguria Road, the prime location directly faces the Western Bypass site office along Lower Kabete, featuring an impressive 200 meters frontage along Lower Kabete Road and approximately 100 meters along Kapenguria Road.

Ideal for a mixed-use development encompassing both commercial and residential elements, this plot stands out in an area lacking a commercial center, supermarket, big box retail stores, petrol station, or apartments, making it a lucrative investment for those seeking superior returns.

Additionally, its proximity to Nairobi Uni..."
49,Price not communicated,2 ac,Null,"Old Kitisuru, Kitisuru, Westlands","Are you a developer looking for prime land for quick and higher than normal returns from your project?

If so, we have the ideal property for you.

Shovel ready 2.5 acre lot.
On a manageable slope.
Next to other gated compound estates.
Clean documents.

Exclusive authority for sale by Zyve Africa Realty

Ready for your development.

Price : Kes 250m"
50,"KSh 50,000,000",0 ac,Null,"Runda, Westlands","Prime land

0.5 acres located in Runda

Located in a gated community

Flat in topography and with red soil cover

Water and electricity on site

Perimeter wall

Close proximity to most social amenities"
51,"KSh 900,000,000",7 ac,"KSh 120,000,000 / ac","Ngiya road, 0300, Maziwa",Available immediately for sale is this 7.5m acres of land in the heart of Nairobi city.It comprises 207 apartments and its ideal for highrise residentials.
52,Null,Null,Null,Null,Null
53,"KSh 60,000,000",,Null,Kilimani,"Prime Plot for Sale

A great piece of property for redevelopment in an upcoming area within the greater Kilimani. It is a 0.32 acre in size and is 500M from Ngong Road (opposite the War Cemetery from Matatu Stage Kenol), this property is well place to accommodate a high rise apartment development. Easily accessible to schools and shopping mall like the Junction, Hub as well as Watermark.
It is connected to all mains and is rectangular in shape with no slope."
54,"KSh 133,000,000",,Null,"Westlands Area, Westlands","0.26 acres in the heart of Westlands, For Sale

Prime piece of land in a highly sought after and opportunistic location, situated at the junction of Muthithi Road and Chiromo Road.

- Allowance to build at least 15 floors.
- Corner plot enabling good access with 2-road entrances.
- Suitable for dynamic possibilities; retail strip-mall, showrooms, mixed-use residential and offices, serviced apartments, high demand 3-star hotel, medical building, etc.
- Opposite Aga Khan Diagnostic Medical Centre
- Behind the GTC Complex, new JW Marriott and Kempinski Hotel.

Exclusively Listed with Pam Golding Commercial. Please reach out to us for more information.

Size: 0.26 acres
Asking price: Kes 133m"
55,"KSh 236,500,000",4 m²,"KSh 55,000,000 / m²","Milima road, Karen","This property is situated in Karen and in a neighborhood that is in high demand. It is of a sloppy nature, has red soil topography, and has an aquifer within the property which means it shall have a sufficient water supply. Give me a call for an actual viewing of this beautiful property."
56,"KSh 34,000,000",0 ac,Null,"Near Ngong Race Course, Ngando., 1019n/1020p/1127k, Ngong Road","Prospect of a commercial cum residential venture off Ngong Road.
 Well placed undeveloped plots.
 Third row from Ngong Road, before Lenana school
 Plot size: 0.25 acres(100 by 100) plots 
 Number of plots: 2 Plots
 Regular rectangular shaped plot.
 Flat level landscape plot.
 Good Drainage
 Cosmopolitan society
Features include:-
 Water and Electricity on Site.
 Sewer line system on site
 Ready freehold title deeds
Neighbourhood Influences include:-
 Lenaan School
 Ngong Race Course..
Site Influences include:-
 Hospitals.
 Excellent schools and colleges.. 
 Close to Thika superhighway.
 Well-maintained neighbourhood.
 Safe and quiet streets
 Convenient public transportati..."
57,"KSh 125,000,000",0 ac,Null,"Off limuru road, Parklands, Westlands","This 1/4 of an acre located in parklands off limuru, is on sale suitable for apartments, office block, hostel and etc.
Located in parklands close to social amenities such as Aga Khan academy, aga Khan hospital, Oshwal school, primier school and major roads such as thika road, Limuru road and Express way.
Call for more information."
58,"KSh 250,000,000",,Null,Mombasa Road,"It's a 2.5-acre commercial plot touching the Express way on Mombasa Road opposite Naivas supermarket.

Ideal for both Commercial and residential purposes

Ready Tittle deed"
59,"KSh 35,000,000",0 ac,"KSh 70,000,000 / ac","Tassia, Donholm","The subject property is a half-acre plot in Tassia, Fedha Estate. The property currently has a 5-bedroom house and the land is ideal for redevelopment into an apartment block. Get in touch for more details"
60,"KSh 40,000,000",0 ac,"KSh 80,000,000 / ac","Runda, Westlands","Prime ½ acre plots for sale in Runda.
With clean documents
Strategically located
Close to most social amenities

For more details please call/whatsapp/message"
61,"KSh 28,000,000",0 m²,Null,Karen,"A half an acre land is available for sale in Karen. The land is surrounded by already developed homesteads, and it is close to Karen shopping centre. Its in a gated community. Red soil"
62,"KSh 265,000,000",4047 m²,"KSh 65,481 / m²","Westlands Area, Westlands","A strategically located site with a wide road frontage that provides a perfect opportunity for redevelopment of either prime offices or multi dwelling apartments subject to obtaining necessary approvals.

Approximately 0.88 acre prime redevelopment plot situated on Muthangari Drive, a short distance away to Waiyaki Way.This fairly regular shaped red soil plot enjoys an excellent position with a wide road frontage to Muthangari Drive.The property adjoins St. Mary’s School playing field at the rear that offers unobstructed views of the greenery; a feature that differentiates the land for a premium development.

The site is presently developed with an older style building. The property is conne..."
63,"KSh 410,000,000",,Null,Kiambu Road,"Prime 5 acres on the 2nd row along kiambu road
Touching a busy road on one side
Currently approved for a hospital development but a change of user can be done for a different commercial development.suitable for a school, hospital, high end townhouses, etc"
64,"KSh 205,000,000",,Null,"Thigiri road, Muthaiga","1 acre piece of land in a very prime area for sale with lots of trees, suitable for Townhouses. Neighbouring prominent people. Close to Muthaiga shopping mall, schools and hospitals."
65,"KSh 440,000,000",8 ac,Null,"Ndorobo Road, Karen, Karen Hardy","Nestled along Ndorobo Road in Karen, this exceptional property extends to 8 acres and holds a leasehold title. With its gradual slope towards Mbagathi River and its rich red soils, this parcel of land is ideal for a stunning low-rise residential development.
Karen, which is considered a leafy suburb, has emerged as the top choice for discerning individuals seeking the ideal living environment. Its strategic location ensures easy accessibility, thanks to the Southern Bypass and the recently expanded Ngong Road, facilitating effortless commutes to various parts of Nairobi."
66,"KSh 15,000,000",,Null,Kiambu Road,"Quarter Acre Available for Sale Near Starehe Girls Centre

The land is located near Starehe Girls Center and right behind Bustani Gardens Estate along Njathaini Road in Kiambu Road. It's an upcoming residential area.

The land boasts of red soil which is ideal for development. The land has ready documents.

Book your appointment today to view the land."
67,"KSh 500,000,000",5 ha,Null,"Farasi Lane, Lower Kabete, Westlands","The property is located in an exclusive gated community of Farasi Lane that is off Lower Kabete road and close to Zen Garden. The property is in the same vicinity as Peponi Preparatory School and accessed by a well cabro road. 

The property is a 5 Acre land with an Old Ambassadorial House. The property also has a Domestic quarters, a swimming pool and a large garden with mature trees.

Selling Price: ksh 500 Million ONO"
68,"KSh 200,000,000",1 ac,Null,"Muthaiga Close, Muthaiga","Located in the prestigious Muthaiga Close, this luxurious 6-bedroom maisonette offers unparalleled comfort and style for high-value clients. Muthaiga is a highly sought-after neighbourhood in Nairobi, known for its serene environment, upscale amenities, and proximity to high-end shopping centres, schools, and hospitals.

Spacious 6-bedroom Maisonette with Exceptional Amenities
-Spacious lounge
-Two dining rooms
-Closed-plan kitchen

Ground floor features:
-Guest cloakroom
-Guest bedroom
-Three additional bedrooms
-One ensuite bedroom with a bathtub
-Laundry area
-Kitchen Pantry

Upstairs features:
-Master ensuite bedroom with a balcony overlooking the lush garden
-Parque floor
-Shared bathro..."
69,"KSh 130,000,000",,Null,"Gigiri Crescent, Gigiri, Westlands","A corner plot measuring 0.6 acres along Gigiri Crescent, and neighboring the Palestinian Chancery on one side and The Diplomatic Police on the other. The plot is vacant would be ideal for development of long or short stay Air BnB or mixed-use commercial enterprise such as residential suites and a shopping arcade. Plot is fully serviced and bears a clean title with no encumberances."
70,"KSh 395,000,000",1 ac,"KSh 322,448,980 / ac","n/a, Industrial Area","This is an industrial property that sits on approximately 1.225 acres of land in Nairobi’s Industrial area. The property is very ideal for a large manufacturing plant or food processing company. The current company has occupied this premises and used it as their headquarters since 1992.

Improvements:

Three storey Office building – Administration block.
2 Godowns Fronting Enterprise Road.
Main production areas in 2 adjoining factories: Known as block 2 and block 3 which has generators plus transformers on ground level as well as production machinery.
Both factories operate on 2 floors.
A reinforced concrete structure with an underground : capacity of 100,000 litres. The upper floor of this..."
71,"KSh 125,000,000",0 ac,"KSh 181,159,420 / ac","Kabasiran Avenue, Lavington","This flat rectangular shaped parcel of land sits right off the main road and would make an ideal choice for an estate development.
The property is surrounded on all sides and connected to mains water and electricity and sewage.
The site’s location and shape provide an ideal opportunity for redevelopment into multi dwelling townhouses in line with the neighborhood character subject to obtaining necessary approvals.
Leasehold of 50 years from 1995, (unexpired term 24 years )."
72,"KSh 42,000,000",,Null,South C,"📍📍SOUTH C, NAIROBI COUNTY.

Prime Residential/Commercial Land For Sale measuring 50 by 50
Residential/Commercial Land For Sale Kes 42,000,000.00 Negotiable
Very Prime Commercial land (Corner plot measuring 50/50) ready for development of residential apartments for sale along Muhoho road Touching estate road (Corner plot).
Very ideal for a hotel, High end restaurant, Retail, wholesale store of choice and residential apartments. 
Strategically located, Serviced parcel of land located 2 Minutes from Mombasa highway, 10minutes to Lang’ata rd and 2 minutes away South C shopping center respectively.

Features and Amenities
☆ Strategic location, along inroad Muhoho lane with access from two ac..."
73,"KSh 1,650,000,000",5 ac,Null,Kilimani,"5 ACRES-KABARNET ROAD. 

This prime property is strategically located off ngong road. It is well elavated and is very ideal for various real estate development such as:
🔥Business park.
🔥Housing projects. 
🔥Education institution. 
🔥Hospitals etc. 

The land is sold as a block.

FEATURES:
🔥Ready clean title.
🔥Red soil.
🔥Well drained.
🔥Excellent accesability.

PRICE: Ksh 1.65B"
74,"KSh 360,000,000",,Null,"Rhapta Road, Westlands",One acre for sale Westland the land is suitable for commercial purpose it can be build hill apartments for commercial purpose it is located in very nice area
75,"KSh 2,000,000",0 ac,"KSh 4,000,000 / ac","Kantafu, Kamulu Joska Malaa","Located in this high potential area is a flat well drained plot surrounded by other half and one acre plots.

Next to other gated community residences, single family homes and agricultural farms.

This is an ideal place for farming, home or commercial development.

Located 3 Kilometers from the tarmac and 200m off the Kilimambogo – Kantafu Bypass.

Its also 2 km from Perfectus Hotel.

Asking Price : Kes 3.5m"
76,"KSh 160,000,000",0 ac,Null,Lavington,"Lavington 0.67 commercial land
Located at the heart of Lavington
Has 2 villas each with 4 bedroom
Sufficient water supply
In a secure and serene environment"
