user_id,year_of_birth,gender,region,living_standards_measure,highest_education,employment,internet_access,cable_tv_subscription,survey_completion,survey_participation_consent,bank_account,bank,last_interaction_with_bank,likelihood_to_recommend,comment_on_why,themes,start_time(GMT),time_of_last_update(GMT),week
18002059,1997,Female,nyanza,9 to 12,In College,Student,Yes,No,FINISHED,YES,Yes,Co-operative,Teller or Branch transactions,10,I was served well and quick,"service,speed/efficiency",7/20/2021 10:32,7/23/2021 10:35,30
18001852,1997,Female,eastern,9 to 12,Completed College,Other/Unemployed,No,Yes,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:13,7/20/2021 10:20,30
18002594,1993,Male,nairobi,1 to 4,Completed Secondary,Other/Unemployed,No,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 10:27,7/23/2021 10:30,30
2296678,1996,Female,riftvalley,9 to 12,Completed College,Other/Unemployed,Yes,Yes,FINISHED,YES,Yes,Equity,Bank agent/ agency banking,10,Equity agents easily available..,staff,7/20/2021 10:30,7/23/2021 10:33,30
17386389,1998,Male,nyanza,9 to 12,Completed Secondary,Other/Unemployed,Yes,No,FINISHED,YES,Yes,Equity,Mobile banking,10,Equity does not charge expensively for its services,service,7/20/2021 11:16,7/23/2021 11:19,30
18002815,1988,Male,riftvalley,1 to 4,Completed Secondary,Other/Unemployed,No,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:55,7/20/2021 10:06,30
2303433,1994,Female,coast,9 to 12,Completed College,Own Business,Yes,Yes,FINISHED,YES,Yes,KCB,ATM,7,Customer friendly,"service,staff",7/20/2021 8:56,7/23/2021 8:59,30
5580613,1997,Female,riftvalley,5 to 8,Completed College,Student,No,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 11:27,7/23/2021 11:30,30
17405821,1998,Female,NA,NA,Completed Secondary,Own my own company,No,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:00,7/23/2021 9:03,30
2889047,1996,Female,riftvalley,NA,NA,Other/Unemployed,Yes,NA,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 11:01,7/23/2021 11:04,30
2909192,1995,Male,riftvalley,5 to 8,None,Other/Unemployed,Yes,No,FINISHED,YES,Yes,Equity,Teller or Branch transactions,10,Care,,7/20/2021 10:28,7/23/2021 10:31,30
17389712,1995,Male,NA,NA,NA,Other/Unemployed,Yes,Yes,FINISHED,YES,Yes,Equity,Mobile banking,10,It was very fast and convenient,"accessibility,speed/efficiency",7/20/2021 11:17,7/23/2021 11:20,30
2279544,1995,Female,coast,NA,NA,Other/Unemployed,NA,NA,FINISHED,YES,Yes,Co-operative,Mobile banking,10,They are efficient and have great customer service,"service,speed/efficiency",7/20/2021 10:06,7/23/2021 10:10,30
2939482,1989,Male,riftvalley,13 to 17,Completed PostGrad,Skilled worker,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:29,7/23/2021 9:32,30
18001948,1999,Female,NA,5 to 8,In Uni,Student,No,No,FINISHED,YES,Yes,Equity,Mobile banking,10,Easy to access my account and excellent service through mobile banking,"accessibility,account,mobile_banking,service,speed/efficiency",7/20/2021 10:55,7/23/2021 10:58,30
2927228,1993,Male,nairobi,9 to 12,Completed University,Other/Unemployed,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:01,7/23/2021 10:04,30
5613260,1996,Male,central,9 to 12,In Uni,Student,Yes,No,FINISHED,YES,Yes,Equity,Internet banking,7,Good.,,7/20/2021 10:58,7/23/2021 11:01,30
17386812,1997,Female,NA,1 to 4,Some Primary,Student,No,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 8:58,7/23/2021 9:01,30
2917531,1995,Male,nairobi,13 to 17,Completed Uni,Own my own company,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,7,Fast and convenient,"accessibility,speed/efficiency",7/20/2021 10:03,7/23/2021 10:06,30
2916967,1995,Male,eastern,9 to 12,Completed College,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 10:19,7/23/2021 10:22,30
5578837,1993,Female,riftvalley,13 to 17,Completed University,Farm owner,Yes,No,FINISHED,YES,Yes,Co-operative,Mobile banking,8,The services are quick and efficient,"service,speed/efficiency",7/20/2021 10:56,7/23/2021 10:59,30
1466851,1998,Male,riftvalley,13 to 17,In Uni,Other/Unemployed,Yes,No,FINISHED,YES,Yes,KCB,Teller or Branch transactions,2,Slow service,"service,speed/efficiency",7/20/2021 10:18,7/23/2021 10:22,30
17402318,1996,Male,central,13 to 17,In College,Skilled worker,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,8,they serve people with good heart,service,7/20/2021 9:13,7/23/2021 9:16,30
17398519,1999,Female,riftvalley,9 to 12,In Uni,Student,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:56,7/23/2021 9:59,30
2265308,1994,Male,nyanza,9 to 12,Some University,Other/Unemployed,Yes,No,FINISHED,YES,Yes,Co-operative,Teller or Branch transactions,4,Average,,7/20/2021 10:58,7/23/2021 11:01,30
18002135,1993,Male,nairobi,9 to 12,In Uni,Student,Yes,No,FINISHED,YES,Yes,Equity,ATM,9,waiting time is short,speed/efficiency,7/20/2021 8:58,7/23/2021 9:01,30
2929528,1998,Female,eastern,9 to 12,Some University,Other/Unemployed,Yes,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 11:03,7/23/2021 11:06,30
2295092,2000,Male,nairobi,5 to 8,Completed Secondary,Student,Yes,No,FINISHED,YES,Yes,Co-operative,Teller or Branch transactions,8,They offer high quality services,service,7/20/2021 10:18,7/23/2021 10:21,30
17402525,1999,Male,riftvalley,13 to 17,In Uni,Other/Unemployed,Yes,Yes,FINISHED,YES,Yes,Equity,ATM,8,Quick service,"service,speed/efficiency",7/20/2021 9:56,7/23/2021 9:59,30
18002523,1978,Female,western,1 to 4,Completed Secondary,Other/Unemployed,No,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:19,7/23/2021 10:22,30
5579964,1998,Female,riftvalley,1 to 4,Completed Secondary,Farm owner,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:55,7/23/2021 9:59,30
2280070,1993,Male,central,NA,Completed College,Skilled worker,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:08,7/23/2021 9:11,30
5644198,1998,Male,riftvalley,9 to 12,Completed Secondary,Other/Unemployed,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:56,7/23/2021 9:59,30
18001815,1996,Female,western,5 to 8,In College,Other/Unemployed,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 11:01,7/23/2021 11:04,30
2929895,1968,Female,riftvalley,5 to 8,Completed University,Other/Unemployed,Yes,No,FINISHED,YES,Yes,Equity,Teller or Branch transactions,9,Good work with low interest rate,rates/charges,7/20/2021 10:06,7/20/2021 14:43,30
2911396,1996,Male,eastern,9 to 12,Completed Secondary,Student,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,8,Fast and efficient transactions though high costs,"account,rates/charges,speed/efficiency",7/20/2021 9:25,7/23/2021 9:28,30
2264908,1988,Male,riftvalley,13 to 17,Completed College,Student,Yes,Yes,FINISHED,YES,No,-,-,-,-,,7/20/2021 10:57,7/23/2021 11:00,30
17388754,2000,Male,nairobi,13 to 17,In Uni,Student,Yes,No,FINISHED,YES,Yes,Equity,Teller or Branch transactions,10,Efficiency and polite,speed/efficiency,7/20/2021 10:57,7/23/2021 11:00,30
2913766,1995,Male,nairobi,9 to 12,Completed Uni,Own my own company,Yes,No,FINISHED,YES,Yes,CBA,Internet banking,9,Fast and efficient,speed/efficiency,7/20/2021 11:16,7/23/2021 11:19,30
2302073,1994,Male,coast,13 to 17,Completed Uni,Skilled worker,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 8:57,7/23/2021 9:00,30
2314782,1996,Female,riftvalley,NA,NA,Other/Unemployed,NA,NA,FINISHED,YES,Yes,Co-operative,Customer service desk/ enquiries,10,Their services are quick and good,"service,speed/efficiency",7/20/2021 10:56,7/23/2021 10:59,30
2955269,1999,Male,eastern,9 to 12,Some University,Student,Yes,No,FINISHED,YES,Yes,Equity,Bank agent/ agency banking,8,Efficiency,speed/efficiency,7/20/2021 9:55,7/23/2021 9:58,30
17404759,1996,Male,nairobi,9 to 12,No school,Student,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 11:25,7/23/2021 11:28,30
18002835,1999,Female,riftvalley,5 to 8,In Uni,Student,Yes,No,FINISHED,YES,Yes,Equity,Teller or Branch transactions,9,It is convenient anywhere because there are many equity agents even in interior places,"accessibility,staff",7/20/2021 9:57,7/23/2021 10:00,30
17396937,1994,Female,nairobi,1 to 4,In Secondary,Other/Unemployed,No,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:59,7/23/2021 10:02,30
18002892,1998,Male,nyanza,5 to 8,In College,Skilled worker,Yes,Yes,FINISHED,YES,No,-,-,-,-,,7/20/2021 9:25,7/23/2021 9:28,30
18001821,1996,Male,riftvalley,9 to 12,In Secondary,Student,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:05,7/23/2021 10:08,30
18002995,1999,Female,nairobi,5 to 8,In Uni,Student,Yes,No,FINISHED,YES,Yes,Equity,Mobile banking,9,Easily accessible,accessibility,7/20/2021 10:31,7/23/2021 10:34,30
2947444,1993,Male,central,9 to 12,Completed University,Other/Unemployed,Yes,No,FINISHED,YES,Yes,Co-operative,Bank agent/ agency banking,6,It is good,,7/20/2021 9:58,7/23/2021 10:01,30
2904413,1997,Male,nairobi,13 to 17,In Uni,Student,Yes,Yes,FINISHED,YES,Yes,KCB,ATM,4,Mmh too many customers but the services are slow,"service,speed/efficiency",7/20/2021 9:13,7/23/2021 9:16,30
18002204,1997,Female,NA,9 to 12,In College,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 11:16,7/23/2021 11:19,30
5747776,1993,Male,western,5 to 8,Completed College,Student,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 8:56,7/23/2021 8:59,30
2950102,1996,Male,nyanza,9 to 12,In Uni,Student,Yes,Yes,FINISHED,YES,Yes,KCB,Mobile banking,8,High charges to send money to Mpesa,mobile_banking,7/20/2021 10:56,7/23/2021 10:59,30
5615110,1996,Female,riftvalley,13 to 17,In Uni,Student,Yes,Yes,FINISHED,YES,Yes,Co-operative,ATM,8,"It''s fast, reliable and good services","service,speed/efficiency",7/20/2021 11:30,7/23/2021 11:33,30
18002736,NA,Male,NA,NA,NA,NA,NA,NA,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:15,7/23/2021 10:18,30
2926231,1990,Male,nairobi,9 to 12,Completed University,Skilled worker,Yes,No,FINISHED,YES,Yes,KCB,Bank agent/ agency banking,8,They value their customers and no delay,service,7/20/2021 8:58,7/23/2021 9:01,30
2925796,1997,Female,western,5 to 8,Some Uni,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 11:26,7/23/2021 11:29,30
2306279,1995,Male,central,5 to 8,Some University,Student,Yes,No,FINISHED,YES,Yes,Equity,Bank agent/ agency banking,10,7,,7/20/2021 10:12,7/23/2021 10:15,30
17400902,1996,Female,central,13 to 17,In Uni,Own my own company,Yes,Yes,FINISHED,YES,Yes,National Bank,ATM,10,Very convinient and available in every town,accessibility,7/20/2021 9:56,7/23/2021 9:59,30
18002975,1998,Male,riftvalley,1 to 4,Some Secondary,Skilled worker,No,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 10:56,7/23/2021 10:59,30
2932403,1998,Male,riftvalley,5 to 8,Completed Secondary,Student,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:57,7/23/2021 11:00,30
17398827,1997,Female,central,13 to 17,Completed Secondary,Own my own company,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:09,7/23/2021 10:12,30
18002859,NA,Female,NA,NA,NA,NA,NA,NA,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:08,7/23/2021 9:11,30
2270405,1994,Male,nyanza,9 to 12,Completed Uni,Skilled worker,Yes,No,FINISHED,YES,Yes,Equity,Mobile banking,8,nice service,"security,service",7/20/2021 10:57,7/23/2021 11:00,30
2948182,1996,Female,riftvalley,NA,NA,Other/Unemployed,Yes,Yes,FINISHED,YES,Yes,Other,Mobile banking,8,Customer centric,service,7/20/2021 11:15,7/23/2021 11:18,30
17394292,1996,Female,riftvalley,5 to 8,Completed Secondary,Student,Yes,No,FINISHED,YES,Yes,KCB,Teller or Branch transactions,8,Very available,,7/20/2021 10:03,7/23/2021 10:06,30
2953734,1995,Female,coast,NA,NA,Other/Unemployed,NA,NA,FINISHED,YES,Yes,Equity,Teller or Branch transactions,10,Highly convenient,accessibility,7/20/2021 11:09,7/23/2021 11:12,30
2292613,1996,Female,nairobi,9 to 12,Completed Secondary,Skilled worker,Yes,No,FINISHED,YES,Yes,KCB,Bank agent/ agency banking,5,Its a good bank,,7/20/2021 10:57,7/23/2021 11:00,30
2908096,1995,Male,nyanza,NA,NA,Other/Unemployed,NA,NA,FINISHED,YES,Yes,KCB,Mobile banking,6,"In as much as their services are commendable, the charges that come with them are so high",service,7/20/2021 10:12,7/23/2021 10:15,30
18002363,1995,Male,NA,9 to 12,In College,Other/Unemployed,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 8:57,7/23/2021 9:00,30
18002733,1992,Female,riftvalley,5 to 8,Completed College,Other/Unemployed,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:59,7/23/2021 10:02,30
18002238,1997,Female,eastern,5 to 8,In Uni,Student,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 8:57,7/23/2021 9:00,30
2289850,1999,Male,riftvalley,5 to 8,Some University,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 10:57,7/20/2021 11:26,30
2932328,1992,Male,coast,5 to 8,Completed College,Student,Yes,No,FINISHED,YES,Yes,Stanbic Bank,ATM,10,Good services,service,7/20/2021 10:55,7/23/2021 10:58,30
2280188,1993,Male,nairobi,9 to 12,Some University,Student,Yes,No,FINISHED,YES,Yes,KCB,ATM,10,Its branches are available country wide and its reliable.,"facilities,speed/efficiency",7/20/2021 10:14,7/23/2021 10:17,30
17406712,1994,Female,western,1 to 4,In College,Student,No,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 10:56,7/23/2021 10:59,30
5591076,1994,Male,central,NA,NA,Other/Unemployed,NA,NA,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:21,7/23/2021 10:24,30
2304057,1991,Male,nyanza,NA,NA,Street or Market Seller,No,NA,FINISHED,YES,Yes,KCB,Mobile banking,9,Quality services,service,7/20/2021 11:01,7/23/2021 11:04,30
2954214,1992,Male,riftvalley,5 to 8,Completed Primary,Other/Unemployed,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:04,7/23/2021 10:07,30
2929272,1994,Female,eastern,NA,NA,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 10:20,7/23/2021 10:23,30
18002432,2000,Male,riftvalley,9 to 12,In College,Student,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,7,They are efficient,speed/efficiency,7/20/2021 11:06,7/23/2021 11:09,30
18003004,1998,Female,NA,5 to 8,Some Primary,Own my own company,No,No,FINISHED,YES,Yes,KCB,Teller or Branch transactions,0,I like,,7/20/2021 9:13,7/23/2021 9:16,30
17391966,1998,Female,eastern,9 to 12,In College,Student,Yes,No,FINISHED,YES,Yes,Equity,Teller or Branch transactions,5,It fairly favourable,,7/20/2021 10:22,7/23/2021 10:25,30
2894107,1996,Male,riftvalley,NA,NA,Student,Yes,NA,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 8:56,7/23/2021 8:59,30
2909593,1995,Female,riftvalley,9 to 12,Completed College,Street or Market Seller,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 8:57,7/23/2021 9:00,30
2924535,1998,Female,riftvalley,5 to 8,In Uni,Student,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:07,7/23/2021 10:10,30
17406152,1996,Male,eastern,13 to 17,No school,Student,Yes,Yes,FINISHED,YES,Yes,KCB,Bank agent/ agency banking,10,Because it gives loans at low interest,loan,7/20/2021 9:13,7/23/2021 9:16,30
2292510,1991,Male,riftvalley,9 to 12,Completed University,Non-skilled worker,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:55,7/23/2021 9:59,30
5611451,1970,Male,nairobi,9 to 12,Completed College,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 9:57,7/23/2021 10:00,30
2283907,1998,Male,riftvalley,5 to 8,Some Secondary,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 9:57,7/23/2021 10:00,30
18002828,1995,Female,riftvalley,1 to 4,Some College,Other/Unemployed,No,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 9:26,7/23/2021 9:29,30
2273411,1990,Male,nairobi,NA,NA,Student,No,NA,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 8:57,7/23/2021 9:00,30
18001787,1998,Female,riftvalley,9 to 12,Completed College,Street / Market Seller,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:58,7/23/2021 11:01,30
2926620,1992,Male,riftvalley,13 to 17,Completed College,Skilled worker,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,10,Lower interest rates on loans,"loan,rates/charges",7/20/2021 8:56,7/23/2021 8:59,30
18002088,1996,Male,nyanza,5 to 8,In Uni,Student,No,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:27,7/23/2021 9:30,30
17404978,1981,Female,eastern,1 to 4,Completed Secondary,Other/Unemployed,No,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 8:56,7/23/2021 8:59,30
18002279,1995,Male,NA,NA,NA,Street / Market Seller,Yes,Yes,TIMEDOUT,YES,Yes,Equity,-,-,-,,7/20/2021 10:58,7/23/2021 11:01,30
18002156,NA,Male,NA,NA,NA,NA,NA,NA,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:55,7/23/2021 10:58,30
2940422,1986,Male,riftvalley,5 to 8,Some Primary,Farm owner,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:21,7/23/2021 9:24,30
5609528,1991,Female,riftvalley,NA,NA,Other/Unemployed,Yes,Yes,FINISHED,YES,Yes,Equity,Mobile banking,8,Good services,service,7/20/2021 11:02,7/23/2021 11:05,30
5612014,1996,Male,nairobi,9 to 12,Some University,Student,Yes,No,FINISHED,YES,Yes,Equity,Mobile banking,10,More convenient and easy,"accessibility,speed/efficiency",7/20/2021 9:56,7/23/2021 9:59,30
18002408,2002,Female,eastern,1 to 4,In Secondary,Student,No,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 9:20,7/23/2021 9:23,30
2292233,1993,Male,riftvalley,NA,Completed College,Other/Unemployed,Yes,No,FINISHED,YES,Yes,National Bank,Customer service desk/ enquiries,8,They give reliable information about their services,"information/communication,service,speed/efficiency",7/20/2021 10:57,7/23/2021 11:00,30
2936008,1990,Male,nyanza,9 to 12,Completed College,Skilled worker,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:01,7/23/2021 9:04,30
18002324,1995,Male,coast,5 to 8,Completed Secondary,Other/Unemployed,Yes,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 11:27,7/23/2021 11:30,30
2904891,1970,Male,nyanza,1 to 4,Completed Secondary,Other/Unemployed,No,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 9:55,7/23/2021 9:58,30
17376944,1997,Female,nyanza,13 to 17,In Uni,Student,Yes,Yes,FINISHED,YES,Yes,KCB,Call centre,10,Its services are good,service,7/20/2021 8:56,7/23/2021 8:59,30
18002568,NA,Female,eastern,1 to 4,Some Secondary,Other/Unemployed,No,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 11:15,7/23/2021 11:18,30
18002489,1995,Female,NA,NA,NA,Student,Yes,Yes,FINISHED,YES,Yes,Equity,Social media,10,Their customer service is at par,service,7/20/2021 8:57,7/23/2021 9:00,30
5093793,1990,Female,western,1 to 4,Completed Secondary,Other/Unemployed,No,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 8:57,7/23/2021 9:00,30
2934282,1996,Male,coast,NA,NA,Other/Unemployed,NA,NA,FINISHED,YES,Yes,Equity,ATM,2,10,,7/20/2021 10:57,7/23/2021 11:00,30
2324103,1997,Male,eastern,13 to 17,Some University,Student,Yes,Yes,FINISHED,YES,Yes,KCB,Teller or Branch transactions,10,7,,7/20/2021 8:57,7/23/2021 9:00,30
17397151,1997,Male,nyanza,9 to 12,In Uni,Student,Yes,No,FINISHED,YES,Yes,Other,ATM,10,Efficiency,speed/efficiency,7/20/2021 11:29,7/23/2021 11:32,30
18003122,1987,Female,riftvalley,1 to 4,Completed Secondary,Other/Unemployed,No,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:56,7/23/2021 9:59,30
2887031,1984,Female,Coast,5 to 8,Some Primary,Other/Unemployed,Yes,No,TIMEDOUT,YES,Yes,KCB,Mobile banking,-,-,,7/20/2021 10:16,7/23/2021 10:19,30
18002168,2000,Female,riftvalley,5 to 8,Completed Secondary,Student,No,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:57,7/23/2021 11:00,30
2917061,1995,Male,nyanza,NA,Some University,Other/Unemployed,No,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 9:56,7/23/2021 9:59,30
5616939,1990,Male,riftvalley,NA,NA,Other/Unemployed,Yes,NA,FINISHED,YES,Yes,National Bank,Teller or Branch transactions,2,Poor customer service,service,7/20/2021 9:01,7/23/2021 9:04,30
18001897,1999,Male,nyanza,5 to 8,In Uni,Student,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,10,it keeps money save,,7/20/2021 8:56,7/23/2021 8:59,30
2941450,1994,Male,eastern,9 to 12,Completed Secondary,Non-skilled worker,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 8:57,7/23/2021 9:00,30
18001940,1997,Male,riftvalley,9 to 12,In Uni,Student,Yes,No,FINISHED,YES,Yes,Equity,Bank agent/ agency banking,8,It''s convenient and reliable,"accessibility,speed/efficiency",7/20/2021 10:57,7/23/2021 11:00,30
2302470,1994,Female,eastern,9 to 12,Completed Primary,Skilled worker,Yes,No,FINISHED,YES,Yes,KCB,Bank agent/ agency banking,10,2,,7/20/2021 11:28,7/23/2021 11:31,30
18002765,1992,Male,western,13 to 17,No school,Student,Yes,Yes,FINISHED,YES,Yes,Equity,Teller or Branch transactions,9,It is competent and transparency,,7/20/2021 10:36,7/23/2021 10:39,30
5609980,1995,Female,coast,5 to 8,Some University,Student,Yes,No,FINISHED,YES,Yes,Co-operative,ATM,8,It gives good services,service,7/20/2021 10:57,7/23/2021 11:00,30
2930816,1992,Male,eastern,NA,Completed College,Non-skilled worker,Yes,No,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 10:58,7/23/2021 11:01,30
2415572,1996,Male,riftvalley,5 to 8,Some University,Student,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,9,Due to there high tariffs I can''t give them a 10. But their services are very okay,service,7/20/2021 10:57,7/23/2021 11:00,30
2938843,1997,Female,coast,5 to 8,Some University,Student,No,No,FINISHED,YES,No,-,-,-,-,,7/20/2021 9:57,7/23/2021 10:00,30
18002271,1994,Female,NA,NA,NA,Student,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,7/20/2021 8:58,7/23/2021 9:01,30
2895283,1990,Female,riftvalley,9 to 12,Completed Primary,Street or Market Seller,Yes,Yes,FINISHED,YES,No,-,-,-,-,,7/20/2021 9:01,7/23/2021 9:04,30
2270484,1995,Male,riftvalley,9 to 12,Completed Primary,Own Business,Yes,No,TIMEDOUT,YES,Yes,KCB,-,-,-,,7/20/2021 10:51,7/23/2021 10:54,30
5747597,1991,Male,western,9 to 12,Completed Secondary,Street or Market Seller,Yes,Yes,FINISHED,YES,No,-,-,-,-,,7/20/2021 9:22,7/23/2021 9:25,30
2890213,1972,Female,western,5 to 8,Completed College,Street or Market Seller,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,9,It easy to bank and it promotes people,speed/efficiency,7/20/2021 10:57,7/23/2021 11:00,30
2908582,1995,Male,nyanza,5 to 8,Some University,Student,Yes,No,FINISHED,YES,Yes,Equity,ATM,8,They Welcome and serve customers well,service,7/20/2021 11:10,7/23/2021 11:13,30
18002609,1993,Female,western,1 to 4,Completed Secondary,Student,No,No,FINISHED,YES,Yes,National Bank,ATM,10,"Its Service Are Good,",service,7/20/2021 10:58,7/23/2021 11:01,30
18002600,1992,Female,NA,9 to 12,In Uni,Student,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,9,my number,,7/20/2021 11:05,7/23/2021 11:08,30
2266082,1993,Male,eastern,9 to 12,Completed University,Other/Unemployed,Yes,Yes,FINISHED,YES,Yes,KCB,ATM,0,Small savings,,7/20/2021 9:10,7/23/2021 9:13,30
